Category	Name	Homepage	First release	Latest known release	Preservation or archival of data and software	Version control (maintenance)	Licensing and legal – for use and distribution	Community engagement	Workflow management systems	Standardized input and output formats	Assessment against benchmarks or known standards	Containerization and dependency management	"Manuals, documentation, logging, and reporting"	Scalability and parallelization	Citation	Rating
Cross-Linking and Structural Proteomics	apComplex	http://bioconductor.org/packages/release/bioc/html/apComplex.html	2005	2024	Not archived or hosted in unreliable locations.	"Comprehensive version control with regular updates, clear changelogs, and active maintenance."	Fully open-source and the code is available	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	No evidence of community engagement or support.	Input/output formats are unknown or non-standard.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Scholtens, D., Vidal, M., & Gentleman, R. (2005). Local modeling of global interactome networks. Bioinformatics, 21(17), 3548-3557. https://doi.org/10.1093/bioinformatics/bti567"	1
Data Processing and Analysis	AUTOHD	http://www.ms-utils.org/autohd.html	2001	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Palmblad, M., Buijs, J., & Håkansson, P. (2001). Automatic analysis of hydrogen/deuterium exchange mass spectra of peptides and proteins using calculations of isotopic distributions. J. Am. Soc. Mass Spectrom., 12(11), 1153-1162. https://doi.org/10.1016/S1044-0305(01)00301-4"	1
Visualization and Imaging	CODA	https://github.com/ashleylk/CODA	2022	2024	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Kiemen, A. L., Braxton, A. M., Grahn, M. P., Han, K. S., Babu, J. M., Reichel, R., Jiang, A. C., Kim, B., Hsu, J., Amoa, F., Reddy, S., Hong, S. M., Cornish, T. C., Thompson, E. D., Huang, P., Wood, L. D., Hruban, R. H., Wirtz, D., & Wu, P. H. (2022). CODA: Quantitative 3D reconstruction of large tissues at cellular resolution. Nat. Methods, 19(11), 1490-1499. https://doi.org/10.1038/s41592-022-01650-9"	1
Spectral Processing and Alignment	CPM	http://www.cs.toronto.edu/%7ejenn/CPM/	2006	2006	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Listgarten, J., Neal, R. M., Roweis, S. T., Wong, P., & Emili, A. (2007). Difference detection in LC-MS data for protein biomarker discovery. Bioinformatics, 23(2), e198-e204. https://doi.org/10.1093/bioinformatics/btl326"	1
Niche and Miscellaneous Tools	HDXfit	https://www.mathworks.com/matlabcentral/fileexchange/69415-hdxfit	2018	2019	Not archived or hosted in unreliable locations.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Babi?, D., Kazazi?, S., & Smith, D. M. (2019). Resolution of protein hydrogen/deuterium exchange by fitting amide exchange probabilities to the peptide isotopic envelopes. Rapid Communications in Mass Spectrometry, 33(15), 1248–1257. https://doi.org/10.1002/rcm.8460"	1
Niche and Miscellaneous Tools	Isotope calculator	http://www.kombyonyx.com/isotopes/	Unknown	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Yergey, J. A. (1983). A general approach to calculating isotopic distributions for mass spectrometry. Int. J. Mass Spectrom. Ion Phys., 52(3-Feb), 337-349. https://doi.org/10.1016/0020-7381(83)85053-0"	1
Protein and Peptide Identification	MSPLIT	http://proteomics.ucsd.edu/software-tools/msplit/	2010	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Wang, J., Pérez-Santiago, J., Katz, J. E., Mallick, P., & Bandeira, N. (2010). Peptide identification from mixture tandem mass spectra. Mol. Cell. Proteomics, 9(7), 1476-1485. https://doi.org/10.1074/mcp.M000136-MCP201"	1
Quantitative Proteomics	muxQuant	http://www.ms-utils.org/muxQuant	2008	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Palmblad, M., Mills, D. J., & Bindschedler, L. V. (2008). Heat-shock response in Arabidopsis thaliana explored by multiplexed quantitative proteomics using differential metabolic labeling. J. Proteome Res., 7(2), 780-785. https://doi.org/10.1021/pr0705340"	1
Spectral Processing and Alignment	OBI-Warp	http://obi-warp.sourceforge.net	2006	2010	Archived data or tool in a trusted repository.	"Minimal or inconsistent version control, tool still functional but not actively maintained."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	"Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum)."	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Prince, J. T., & Marcotte, E. M. (2006). Chromatographic alignment of ESI-LC-MS proteomics data sets by ordered bijective interpolated warping. Anal. Chem., 78(17), 6140-6152. https://doi.org/10.1021/ac0605344"	1
Post-Translational Modifications (PTMs)	PTMProphet	http://tools.proteomecenter.org/wiki/index.php?title=Software:TPP	2015	Unknown	Not archived or hosted in unreliable locations.	"No version control, tool is deprecated or unreliable."	"Open source but with restrictions (e.g., limited commercial use or missing code access)."	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Formats are non-standard but can be converted with effort.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	"Lacks a manual; minimal or unclear documentation, logging, or reporting."	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	"Deutsch, E. W., Mendoza, L., Shteynberg, D., Slagel, J., Sun, Z., & Moritz, R. L. (2015). Trans-Proteomic Pipeline, a standardized data processing pipeline for large-scale reproducible proteomics informatics. Proteomics Clin. Appl., 9(8), 745-754. https://doi.org/10.1002/prca.201400164"	1
